Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.8,14,91.1
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.2,14,90.5
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.1,7,72.2
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.9,14,90.1
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.7,10,71.0
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.6,10,92.0
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.9,7,95.9
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,80.2
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.2,10,81.2
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.7,10,65.4
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.8,14,69.7
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.0,14,91.0
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),42.5,7,72.5
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.2,14,77.4
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.6,14,90.2
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.5,10,80.9
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.9,14,89.0
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.1,10,94.2
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.2,10,75.3
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.4,7,97.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.9,14,90.7
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.7,14,98.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.1,10,95.8
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.7,14,94.5
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),33.5,7,77.4
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.5,10,65.7
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.8,7,89.5
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.7,7,95.3
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.9,7,90.2
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.3,14,94.0
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.1,10,66.2
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.7,14,89.2
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.4,7,81.2
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.4,14,81.1
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),26.1,14,93.0
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.9,7,91.9
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.2,7,74.8
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.5,14,90.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),33.5,7,66.9
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.4,7,79.2
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),27.9,10,74.6
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.5,14,91.4
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.0,14,92.4
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,92.4
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.9,7,79.8
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.3,10,71.2
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,79.7
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.3,14,92.3
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.6,14,89.5
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.1,7,66.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.2,7,94.5
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),18.2,7,96.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.7,14,71.3
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.3,7,69.1
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),31.0,7,98.8
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.3,7,70.9
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.2,10,72.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),31.1,7,98.1
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.0,14,93.1
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.7,14,68.9
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),38.9,14,77.8
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.1,14,75.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.5,10,73.2
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.6,7,88.5
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.2,14,89.9
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),23.0,10,76.1
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.4,14,69.3
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.1,14,78.0
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.9,7,74.3
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.8,14,67.5
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.6,7,92.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.7,10,97.2
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.0,10,74.9
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,10,73.6
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,72.1
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.1,14,88.8
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.6,14,91.4
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.1,7,98.2
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.0,10,93.8
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),35.0,14,77.0
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.1,7,92.0
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.1,14,89.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.6,10,94.9
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),32.3,14,98.8
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.4,10,73.6
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.4,7,93.5
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.0,14,94.0
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.4,14,68.8
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),22.7,7,97.1
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.8,7,80.2
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,97.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,68.0
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.3,14,92.4
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.9,14,98.8
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.3,7,70.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.0,14,98.0
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),27.9,10,66.4
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.3,14,94.9
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.0,7,65.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.9,10,67.3
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.8,14,97.4
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),26.4,14,88.6
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.5,10,90.0
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.3,14,75.4
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.9,7,79.1
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.6,7,75.3
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.1,7,74.8
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),29.9,14,89.8
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.2,7,92.4
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.6,14,77.9
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.0,14,91.2
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.2,14,72.1
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.2,14,74.3
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),23.8,7,88.6
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.5,14,82.0
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.0,10,70.2
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.6,7,91.8
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.6,7,94.0
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.5,14,91.7
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.1,14,88.5
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.2,14,71.5
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),48.9,14,77.6
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.4,14,89.6
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.4,7,95.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.7,7,65.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.8,10,68.7
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.4,7,96.3
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.4,14,89.2
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),23.0,10,76.7
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,81.5
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.2,7,97.4
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),33.3,14,98.0
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.6,10,95.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.1,14,79.2
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.8,7,73.2
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.3,10,72.7
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),41.6,7,81.1
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.7,14,74.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.2,10,76.5
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.1,14,94.7
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.9,10,79.0
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.0,14,89.3
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.6,7,90.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),51.1,14,79.8
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.5,7,90.9
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.2,14,88.0
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.5,10,77.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.3,10,69.7
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.9,10,69.9
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.3,14,96.6
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.2,7,98.1
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.0,10,76.6
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.8,7,69.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.4,10,80.2
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.3,14,95.3
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.8,7,92.6
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),22.8,14,97.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.6,7,91.7
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,14,96.8
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,73.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,95.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.6,14,71.5
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.7,7,96.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.6,14,71.0
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.8,14,69.1
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.5,14,68.5
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.6,7,65.6
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.1,14,80.6
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.9,7,69.7
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),48.3,14,66.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.5,10,92.6
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.2,14,98.2
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.1,7,97.7
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),26.2,14,91.5
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.8,14,94.9
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.4,14,93.3
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.0,7,79.0
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.0,7,72.4
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.7,7,89.1
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.3,10,71.0
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.2,14,97.0
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.2,7,71.1
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.6,10,89.9
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.7,14,97.8
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.1,14,82.0
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.6,14,71.3
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.4,7,82.0
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,75.7
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.5,14,91.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.2,7,94.3
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.7,10,65.4
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.7,14,91.7
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.6,7,98.0
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.4,7,65.6
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.4,14,94.8
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.3,7,74.1
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.6,14,69.0
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.4,14,73.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.7,10,77.4
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),28.7,7,91.6
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.5,7,94.3
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.9,14,96.5
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.2,7,70.7
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.7,10,93.1
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.7,7,70.9
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.4,10,67.5
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),17.1,7,99.0
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.8,10,71.4
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.5,14,89.3
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.9,7,95.6
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.2,10,92.4
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.9,7,66.3
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.7,14,70.3
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,89.3
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.9,7,94.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),17.7,10,74.7
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.7,14,96.2
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.2,7,89.4
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.5,10,68.6
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),14.9,7,91.4
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.0,7,95.8
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.8,7,75.6
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.7,10,70.0
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),48.6,14,70.5
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.5,7,98.8
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.8,7,97.0
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),42.9,7,79.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.6,7,77.5
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),26.4,10,73.6
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),23.6,10,78.8
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.8,7,66.9
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.9,14,94.2
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),33.8,7,95.0
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.8,14,90.8
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.4,7,68.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.2,7,98.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.4,7,94.0
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),28.8,7,79.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.6,7,94.2
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.7,7,95.9
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),36.0,7,97.6
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),20.7,10,79.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),23.5,10,75.9
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.9,7,97.0
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),33.9,7,79.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.1,7,68.8
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.9,7,71.7
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.9,7,89.9
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),38.8,14,81.9
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.3,10,81.9
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.8,14,88.6
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.6,14,65.5
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.5,14,93.7
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.3,7,94.3
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.4,14,70.3
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.6,14,98.1
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),18.5,7,96.7
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),17.9,10,78.9
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.0,14,80.9
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.0,7,67.8
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.5,14,78.6
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.1,14,78.1
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.4,10,66.7
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.8,14,75.0
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.4,14,89.9
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.0,14,88.1
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.9,10,76.4
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.5,7,98.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.8,7,81.5
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.3,14,69.9
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),45.0,7,67.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.9,7,93.9
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.5,7,96.3
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.8,7,80.5
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.1,14,94.9
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),29.9,14,98.9
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.2,7,94.9
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),31.3,7,79.0
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.2,14,79.6
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.5,14,93.4
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,88.0
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,77.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.9,14,91.3
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.3,7,94.2
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.5,14,88.6
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),38.3,14,67.1
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.7,10,70.0
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.5,14,88.7
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.8,14,89.3
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.3,14,66.1
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.4,7,96.3
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),22.9,14,96.6
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.6,14,88.1
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.7,7,80.8
